,pos,neg,neu,comp,tag
336,0.131,0.084,0.785,0.2023,2004
337,0.071,0.212,0.718,-0.9477,2004
338,0.131,0.333,0.536,-0.9081,2004
339,0.136,0.161,0.703,-0.4588,2004
340,0.0,0.151,0.849,-0.5994,2004
341,0.143,0.12,0.737,0.0258,2004
342,0.0,0.291,0.709,-0.8126,2004
343,0.0,0.0,1.0,0.0,2004
344,0.039,0.397,0.564,-0.9837,2004
345,0.072,0.321,0.607,-0.969,2004
346,0.097,0.107,0.796,-0.2023,2004
347,0.079,0.162,0.759,-0.7269,2004
348,0.181,0.118,0.701,0.5881,2004
349,0.199,0.061,0.74,0.5267,2004
350,0.175,0.181,0.645,-0.1027,2004
351,0.112,0.122,0.766,-0.2023,2004
352,0.241,0.0,0.759,0.9001,2004
353,0.072,0.0,0.928,0.4019,2004
354,0.288,0.121,0.591,0.7506,2004
355,0.012,0.447,0.541,-0.99,2004
356,0.192,0.0,0.808,0.9217,2004
357,0.233,0.049,0.719,0.8271,2004
358,0.115,0.224,0.661,-0.5574,2004
359,0.134,0.275,0.591,-0.9287,2004
360,0.057,0.19,0.753,-0.8126,2004
361,0.078,0.079,0.843,-0.0258,2004
362,0.357,0.057,0.586,0.9371,2004
363,0.08,0.088,0.832,0.128,2004
364,0.025,0.224,0.751,-0.8779,2004
365,0.061,0.0,0.939,0.4601,2004
366,0.234,0.306,0.46,-0.6264,2004
367,0.0,0.124,0.876,-0.34,2004
368,0.245,0.0,0.755,0.9423,2004
369,0.387,0.054,0.559,0.9442,2004
370,0.0,0.442,0.558,-0.9531,2004
371,0.155,0.0,0.845,0.8402,2004
372,0.181,0.09,0.729,0.6597,2004
373,0.118,0.182,0.7,-0.765,2004
374,0.115,0.243,0.642,-0.9413,2004
375,0.091,0.153,0.756,-0.5859,2004
376,0.11,0.227,0.663,-0.5859,2004
377,0.0,0.0,1.0,0.0,2004
378,0.082,0.199,0.719,-0.5994,2004
379,0.0,0.088,0.912,-0.4215,2004
380,0.0,0.205,0.795,-0.9081,2004
381,0.115,0.099,0.785,-0.0258,2004
382,0.087,0.043,0.87,0.296,2004
383,0.078,0.278,0.645,-0.9451,2004
384,0.058,0.117,0.825,-0.5574,2004
385,0.117,0.304,0.579,-0.9524,2004
386,0.131,0.108,0.761,0.2023,2004
387,0.166,0.087,0.748,0.7506,2004
388,0.233,0.12,0.647,0.743,2004
389,0.0,0.113,0.887,-0.5106,2004
390,0.132,0.0,0.868,0.5267,2004
391,0.0,0.176,0.824,-0.7964,2005
392,0.185,0.199,0.616,-0.2023,2005
393,0.095,0.391,0.514,-0.9788,2005
394,0.048,0.043,0.909,-0.1779,2005
395,0.286,0.038,0.676,0.9337,2005
396,0.332,0.0,0.668,0.9423,2005
397,0.32,0.126,0.554,0.8807,2005
398,0.045,0.172,0.783,-0.8442,2005
