,pos,neg,neu,comp,tag
320,0.318,0.196,0.486,0.9828,2004
321,0.261,0.073,0.666,0.9901,2004
322,0.346,0.082,0.572,0.9984,2004
323,0.238,0.077,0.686,0.9976,2004
324,0.233,0.042,0.724,0.9934,2004
325,0.156,0.334,0.511,-0.9858,2004
326,0.292,0.082,0.627,0.9794,2004
327,0.289,0.099,0.613,0.9905,2004
328,0.254,0.063,0.683,0.9808,2004
329,0.362,0.142,0.495,0.9652,2004
330,0.21,0.228,0.562,0.3447,2004
331,0.319,0.093,0.589,0.9919,2004
332,0.152,0.203,0.645,-0.7906,2004
333,0.364,0.124,0.512,0.9942,2004
334,0.217,0.233,0.549,-0.5302,2004
335,0.14,0.293,0.567,-0.9972,2004
336,0.073,0.108,0.818,-0.7783,2004
337,0.279,0.129,0.592,0.9939,2004
338,0.202,0.042,0.756,0.9927,2004
339,0.141,0.188,0.671,-0.9079,2004
340,0.154,0.168,0.678,-0.5106,2004
341,0.155,0.305,0.54,-0.9974,2004
342,0.316,0.118,0.566,0.9837,2004
343,0.084,0.261,0.655,-0.9638,2004
344,0.338,0.122,0.539,0.9981,2004
345,0.215,0.278,0.508,-0.0721,2004
346,0.302,0.18,0.518,0.9771,2004
347,0.093,0.308,0.599,-0.997,2004
348,0.218,0.254,0.528,-0.9891,2004
349,0.341,0.139,0.521,0.9976,2004
350,0.073,0.28,0.647,-0.9968,2004
351,0.146,0.192,0.662,-0.9873,2004
352,0.355,0.057,0.588,0.999,2004
353,0.162,0.23,0.608,-0.9594,2004
354,0.116,0.231,0.654,-0.9762,2004
355,0.31,0.026,0.665,0.9968,2004
356,0.11,0.164,0.726,-0.9869,2004
357,0.085,0.109,0.806,-0.8225,2004
358,0.077,0.05,0.873,0.8416,2004
359,0.112,0.402,0.486,-0.9996,2004
360,0.241,0.093,0.667,0.9942,2004
361,0.073,0.403,0.524,-0.9997,2004
362,0.251,0.142,0.607,0.9943,2004
363,0.245,0.148,0.606,0.9646,2004
364,0.268,0.121,0.611,0.9578,2004
365,0.189,0.221,0.589,-0.5859,2004
366,0.268,0.0,0.732,0.9886,2004
367,0.088,0.112,0.799,-0.4541,2004
368,0.465,0.024,0.511,0.9997,2004
369,0.153,0.219,0.628,-0.9289,2004
370,0.152,0.057,0.792,0.9897,2004
371,0.304,0.081,0.615,0.9934,2004
372,0.216,0.135,0.649,0.9001,2004
373,0.239,0.106,0.655,0.9403,2004
374,0.169,0.127,0.704,0.9263,2004
375,0.26,0.174,0.566,0.9065,2004
376,0.184,0.118,0.698,0.982,2004
377,0.117,0.206,0.677,-0.9903,2004
378,0.116,0.086,0.798,0.7351,2004
379,0.253,0.0,0.747,0.992,2004
380,0.319,0.095,0.586,0.9894,2004
381,0.335,0.064,0.601,0.9988,2004
382,0.212,0.216,0.571,0.0721,2004
383,0.203,0.12,0.678,0.9747,2004
384,0.479,0.029,0.491,0.9998,2004
385,0.146,0.106,0.748,0.9349,2004
386,0.176,0.215,0.609,-0.936,2004
387,0.139,0.181,0.681,-0.9631,2004
388,0.15,0.152,0.698,-0.6277,2004
389,0.253,0.141,0.607,0.9798,2004
390,0.193,0.079,0.728,0.9796,2004
391,0.122,0.144,0.734,0.1139,2005
392,0.09,0.4,0.51,-0.9988,2005
393,0.436,0.061,0.503,0.999,2005
394,0.41,0.029,0.561,0.9943,2005
395,0.231,0.079,0.69,0.9917,2005
396,0.18,0.074,0.745,0.9926,2005
397,0.106,0.219,0.674,-0.9468,2005
398,0.132,0.134,0.734,-0.5736,2005
399,0.47,0.142,0.387,0.9942,2005
400,0.102,0.341,0.557,-0.9886,2005
401,0.125,0.182,0.693,-0.9473,2005
402,0.085,0.092,0.823,0.1073,2005
403,0.32,0.111,0.568,0.998,2005
404,0.105,0.11,0.785,0.1531,2005
405,0.23,0.282,0.488,0.973,2005
406,0.248,0.177,0.574,0.9264,2005
407,0.076,0.083,0.841,-0.6705,2005
408,0.088,0.005,0.906,0.9774,2005
409,0.149,0.195,0.656,-0.9822,2005
410,0.265,0.051,0.684,0.9796,2005
411,0.077,0.089,0.834,0.0258,2005
