Rank,Song,Artist,Year,Lyrics
24,post,omarion featuring chris brown and jhene aiko,2015,omarion breezy chickyour chickif chick come close aint going home post im getting money like im post im getting money like im post niggas close niggas post hoes go chick send pic like pose thats post yo thats post yo thats post everything good like post bepull club go go make girl fall love show fault wanna know told homie came like knew gave like groupie true thats facts printer printer cold nigga turn summer winter save phone bestie screaming yo girl supposed text nope want know know knowif chick come close aint going home post im getting money like im post im getting money like im post niggas close niggas post hoes go chick send pic like pose thats post yo thats post yo thats post everything good like post begot girl section finna blow nigga smoking loud im roll aint never got high like guy like pop tell hol better believe gone leave real nigga dick cant put like get bussin discussin gotta deal team us aint worried murder wrote yeah yeah hit imma kill imma get like murder wrote want know know knowif dude come close gon want ride ghost ill make might let boy chauffeur got eat booty like groceries gotta get rid hoes might nigga sailing soul thats post wants expose freak thats post thats post thats post everything good like post oohif chick come close come close aint going home post yeah im getting money like im post post im getting money like im post im getting money niggas close niggas post yeah yeah girl hoes go chick send pic like pose girl thats post yeah yo thats post girl yo thats post ay everything good like post beshe bout ride even know name name know girl girl chose mad nah bruh mad chicks everybodyomarion cbreezy ill make em ill make em
25,honey im good,andy grammer,2015,nah nah honey im good could another probably ive got somebody homeverse long night long night long long legs danm near everywhere hold look good lie ask im staying tonight gotta like baby baby got wrong baby babys already got lovechorus nah nah honey im good could another probably ive got somebody home stay might leave alone honey im good could another probably ive got bid adieu another stay true oo oo stay true stay trueverse better men failed drinking unholy grail check ive got got got butt kindly gotta like baby baby got wrong baby babys already got lovechorus nah nah honey im good could another probably ive got somebody home stay might leave alone honey im good could another probably ive got bid adieu another stay true oo oo stay true stay truebridge im sure ya sure ya make somebodys night assure ya assure ya sure hells mineoh honey im good could another probably ive got somebody home stay might leave alone honey im good could another probably ive got bid adieu another stay truechorus honey im good could another probably ive got somebody home stay might leave alone honey im good could another probably ive got bid adieu another stay true true ooo oooi stay true x whoa
26,im one,sam smith,2015,made vow better worse cant believe let proofs way hurtsfor months end ive doubts denying every tear wish would know still need hereyou say im crazy cause think know done call baby know im oneyouve unavailable sadly know heart unobtainable even though lord knows kept mineyou say im crazy cause think know done call baby know im onei loved many years maybe enough made realize deepest fear lying tearing us upyou say im crazy cause think know done call baby know im one say im crazy cause think know done call baby know im one know im one know im one know know know know know know know know im one
27,good,selena gomez featuring aap rocky,2015,im carats im carat like midas say got touch good good make never wanna leave dontgonna wear dress like skintight hair real real nice syncopate skin heart beatingcause wanna look good good wanna look good good let show proud leave dress mess floor still look good good meaning byjamesg editor good lead single american singer selena gomezs second studio album revival features rapper asap rocky cowrote track see im marquise diamonds im marquise diamond could even make tiffany jealous say give hard bad bad make never wanna leave wontgonna wear dress like skintight hair real real nice syncopate skin breathingcause wanna look good good wanna look good good let show proud leave dress mess floor still look good good youtrust take trust take trust trust trust ihold take minute love cause aint trying mess image like mess around triple cuffs stumble round town pull zipper pants sag like give aint trying mess fitness aint trying get stuff way touchin club rubbin miniature john hancock signature time hit know feelin time get always end news aint worried bout press aint worried bout next chick love way dress aint got shit jackpot hit jackpot met bad miss without ass shots look good girl know good look good girl bet feel good iti wanna look good good baby let good good let show proud leave dress mess floor still look good good youtrust trust trust
28,bass,meghan trainor,2015,know im bass bout bass treble im bout bass bout bass treble im bout bass bout bass treble im bout bass bout bassyeah pretty clear aint size two shake shake like im supposed cause got boom boom boys chase right junk right places see magazines working photoshop know shit aint real come make stop got beauty beauty raise em cause every inch perfect bottom top yeah momma told worry size says boys like little booty hold night know stickfigure silicone barbie doll thats whats go ahead move along meaning byamandah editor phish fan jamrockers song called contact listeners claim trainor ripped bass cascading melody see know im bass bout bass treble im bout bass bout bass treble im bout bass bout bass treble im bout bass bout bassim bringing booty back go ahead tell skinny bitches hey im playing know think fat im tell every inch perfect bottom top yeah momma told worry size says boys like little booty hold night know stickfigure silicone barbie dollso thats whats go ahead move alongbecause know im bass bout bass treble im bout bass bout bass treble im bout bass bout bass treble im bout bass bout bassbecause know im bass bout bass treble im bout bass bout bass treble im bout bass bout bass treble im bout bass bout bassbecause know im bass bout bass treble im bout bass bout bass treble im bout bass bout bass treble im bout bass bout bass
29,style,taylor swift,2015,midnight come pick headlights long drive could end burning flames paradise fade view since even heard heard tell leave cause know exactly leads watch go round round timeyou got james dean daydream look eye got red lip classic thing like go crashing come back every time cause never go style never go style got long hair slick back white tshirt got good girl faith tight little skirt go crashing come back every time cause never go style never go styleso goes cant keep wild eyes road takes home lights hes taking coat hm yeah say ive heard girl girl says heard true cant stop thinking said ive timescause got james dean daydream look eye got red lip classic thing like go crashing come back every time cause never go style never go style got long hair slick back white tshirt got good girl faith tight little skirt tight little skirt go crashing come back every time cause never go never go style never go styletake home take home yeah take home ohout style got james dean daydream look eye got red lip classic thing like go crashing come back every time cause never go style never go style
30,hotline bling,drake,2015,used call used used used call cell phone late night need love call cell phone late night need love know hotline bling mean one thing know hotline bling mean one thingever since left city got reputation everybody knows feel left girl got got stressed cause ever since left city started wearing less goin glasses champagne dance floor hangin girls ive never seen beforeyou used call cell phone late night need love call cell phone late night need love know hotline bling mean one thing know hotline bling mean one thingever since left city get along make feel like wrong going places belong ever since left city got exactly asked running pages passport hanging girls ive never seen beforeyou used call cell phone late night need love call cell phone late night need love know hotline bling mean one thing know hotline bling mean one thingthese days wonder bendin backwards someone else wonder rollin backwoods someone else things taught gettin nasty someone else need one else need nobody else never alone always touching road used always stay home good girl zone right someone elseyou used call cell phone late night need love call cell phone late night need love know hotline bling mean one thing know hotline bling mean one thingever since left city
31,hey mama,david guetta featuring nicki minaj bebe rexha and afrojack,2015,woman girl imma man woman girl ill manyes woman yes baby yes whatever tell ready yes girl forever lady aint never gotta worry im babybest believe need ill provide always ill deck keep check need imma let ityou beatin drum like dum di di dey love dirty rhythm play wanna hear calling name like hey mama mama hey mama mama hey banging drum like dum di di dey know want worst way wanna hear calling name like hey mama mama hey mama mama heybe woman girl imma man woman girl ill manyes cooking yes cleaning yes keep nana real sweet eating yes boss yes respecting whatever tell cause game spittingbest believe need ill provide always ill deck keep check need imma let ityou beatin drum like dum di di dey love dirty rhythm play wanna hear calling name like hey mama mama hey mama mama hey banging drum like dum di di dey know want worst way wanna hear calling name like hey mama mama hey mama mama heybe woman girl imma man woman girl ill manwhole crew got juice dick game truth screams proof dudes get deuce might speed coupe leaving interview aint nothin new fuckin none bitches aint taking tell make u make u huh come first like debuts huh baby need give word im good ill bad babyso make sure hes getting share make sure baby take care make sure mama toes knees keep please rub lady freakyou beatin drum like dum di di dey love dirty rhythm play wanna hear calling name like hey mama mama hey mama mama hey banging drum like dum di di dey know want worst way wanna hear calling name like hey mama mama mama hey mama mama heybe woman girl imma man woman girl ill man
32,gdfr,flo rida featuring sage the gemini and lookas,2015,know came see freak ya coming home know came bust open let see get loose going real going real going realyour girl kissed girl bi chicks shake shake im throwing emirates sky spinning assalamu alaykum peace money love beaches south beaches surfboard high tide could roll cause im swoll birthday cake get cobra buggati real im cold bruh autobiography rover got key city thots anna kournikovas said rackets ratchets hold said rackets ratchets hold upi know came see freak ya coming home know came bust open let see get loose going real going real already know going realits going femurs girls get wetter katrina yeah girl never seen cause tints limousines touch midas deplus man minus team blowing slam make coughcough thats bronchitis put hands stick makeup get ass floor ladies put lipstick double entendre double entendre hating get money double tonkersi know came see freak ya coming home know came bust open let see get loose going real going real going real going real going reallift drop shake pop lift drop shake pop lift drop shake pop lift drop shake itits going real going real going real going real going real
33,mean,justin bieber,2015,mean nod head yesbut wanna say mean hey want move tell go mean mean said running time mean mean better make mind mean memory byamandah editor add kanye west list beliebers see indecisive im saying trying catch beat make heart know happy complainingdont want us end start first wanna go left want turn right wanna argue day making love nightfirst betweenoh really want know mean oohwhen nod head yes wanna say mean hey want move tell go mean mean said running time mean mean better make mind mean overprotective im leaving trying compromise cant win wanna make point keep preaching start let end first wanna go left want turn right wanna argue day make love night first really want know mean nod head yes wanna say mean mean hey want move tell go mean wanna know mean said running time mean ah baby meanbetter make mind mean nod head yes wanna say mean confusing baby hey want move tell go mean mean said running time mean mean better make mind mean
34,photograph,ed sheeran,2015,loving hurt loving hurt sometimes thing know gets hard know get hard sometimes thing makes us feel alivewe keep love photograph made memories eyes never closing hearts never broken times forever frozen stillso keep inside pocket ripped jeans holding closer til eyes meet ever alone wait come homeloving heal loving mend soul thing know know swear get easier remember every piece hm thing take us diehm keep love photograph made memories eyes never closing hearts never broken times forever frozen stillso keep inside pocket ripped jeans holding closer til eyes meet ever aloneand hurt thats okay baby words bleed inside pages hold ever let go wait come home wait come home wait come home wait come homeyou fit inside necklace got sixteen next heartbeat keep deep within souland hurt well thats okay baby words bleed inside pages hold ever let gowhen im away remember kissed lamppost back sixth street hearing whisper phone wait come home
35,hello,adele,2015,hello wondering years like meet go everything say times supposed heal ya aint done much healinghello hear im california dreaming used younger free ive forgotten felt world fell feettheres difference us million mileshello side mustve called thousand times tell im sorry everything ive done call never seem home meaning byjamesg editor another popular parody time saturday night live showing us adeles hello able keep family fighting thanksgiving see hello outside least say ive tried tell im sorry breaking heart matter clearly tear apart anymorehello typical talk im sorry hope well ever make town nothing ever happenedits secret us running timeso hello side side mustve called thousand times thousand times tell im sorry everything ive done call never seem homehello outside outside least say ive tried ive tried tell im sorry breaking heart matter clearly tear apart anymoreoh anymore anymore anymore anymorehello side side mustve called thousand times thousand times tell im sorry everything ive done call never seem homehello outside outside least say ive tried ive tried tell im sorry breaking heart matter clearly tear apart anymore
36,stitches,shawn mendes,2015,thought ive hurt ones ever left quite sore words cut deeper knife need someone breathe back lifegot feeling im going know ill make alive quit calling lover move onyou watch bleed cant breathe im shaking falling onto knees im without kisses ill needing stitches im tripping im aching begging come help im without kisses ill needing stitchesjust like moth drawn flame lured sense pain bitter heart cold touch im gonna reap sew im left seeing red memory byalicimusic love much means much hes inspiration music ear xd see got feeling im going know ill make alive quit calling lover move onyou watch bleed cant breathe im shaking falling onto knees im without kisses ill needing stitches im tripping im aching begging come help im without kisses ill needing stitchesneedle thread gotta get head needle thread gonna wind deadneedle thread gotta get head needle thread gonna wind deadneedle thread gotta get head needle thread gonna wind deadneedle thread gotta get head get headyou watch bleed cant breathe im shaking falling onto knees falling knees im without kisses ill needing stitches ill needing stitches im tripping im aching begging come help begging baby please im without kisses ill needing stitchesand im without kisses ill needing stitches im without kisses ill needing stitches
37,talking body,tove lo,2015,bed stay bed feeling skin locked head smoke smoke broke care im wantday drunk night wanna keep cause dry tears yeah summer lovin fights us becausenow talking body got perfect one put swear take long love right fuck life onnow talking body got perfect one put swear take long love right fuck life onlove give love anything want ill give lips lips kiss bite taste fingertipsday drunk night wanna keep cause dry tears yeah summer lovin fights us becausenow talking body got perfect one put swear take long love right fuck life onnow talking body got perfect one put swear take long love right fuck life onbodies baby making bodies use fun bodies lets use til every little piece gone lets go lets go lets gonow talking body got perfect one put swear take long love right fuck life onnow talking body got perfect one put swear take long love right fuck life onnow talking body put love right fuck life onnow talking body got perfect one put swear take long love right fuck life
38,jealous,nick jonas,2015,like way hes looking im starting think want crazy lost ya even though know love cant help iti turn chin music im puffing chest im getting ready face call obsessed fault hover mean disrespect right hellish still get jealouscause sexy beautiful everybody wants taste thats thats still get jealouscause sexy beautiful everybody wants taste thats thats still get jealousi wish post wish save little bit protective possessive yeah call passive aggressivei turn cheek music im puffing chest im getting ready face call obsessed fault hover mean disrespect right hellish still get jealouscause sexy beautiful everybody wants taste thats thats still get jealouscause sexy beautiful everybody wants taste thats thats still get jealousyoure one invited said theres one else cause know get excited yeah get jealous tooi turn cheek music im puffing chest im turning ready face call obsessed fault hover mean disrespect right hellish still get jealouscause sexy beautiful everybody wants taste thats thats still get jealouscause sexy beautiful everybody wants taste thats thats still get jealousoh thats still get jealous thats still get jealous
39,time lives,pitbull and neyo,2015,knew rent gon later bout week ago work ass still cant pay though got enough get club good time time hey lets get nowooh want time life baby give time life neyo lets get lets get nowthis last got imma good time ballin tell barteneder line shots cause imma get loose tonight fire hot im liar burn spot look like mariah took another shot told drop drop drop drop like hot dirty talk dirty dance freaky girl im freaky man rebound broke ex im like rodman ready deck told wanna ride said yes go church got blessedi knew rent gon later bout week ago work ass still cant pay though got enough get club good time time hey lets get nowooh want time life baby give time life lets get nowtonight imma lose mind better get cause im gonna get mine party every night like last mommy know drill shake ass go ahead baby let see got know got biggest booty spot wanna see thing drop back front top know im cut always like squirrel looking nut show im talking bout luck im talking bout love im talking bout lust lets get loose fun forget bills first month night night night lets turn upi knew rent gon later bout week ago work ass still cant pay though got enough get club good time time hey lets get nowooh want time life baby give time life hey hey hey lets get noweverybody goin somethin everybody goin somethin said everybody goin somethin everybody goin somethin say might well roll pour drink throw tonight said everybody goin somethin everybody goin somethin said everybody goin somethin everybody goin somethin say might well roll pour drink throw tonightthis anybody going tough times believe done everyday ground great day remember thati knew rent gon later bout week ago work ass still cant pay though got enough get club good time time hey lets get nowooh want time life baby give time life hey hey hey lets get
40,locked away,r city featuring adam levine,2015,got locked away lost today tell honestly would still love showed flaws strong tell honestly would still love sameright judge life would stay side gonna say goodbye tell right buy fancy things life shawty would alright come show downnow tell would really ride baby tell would die would spend whole life would always hold tell would really cry baby lie anything wanna know would stick around meaning byjamesg editor locked away song r city featuring adam levine lead singer band maroon released june r city songritingproduction duo see got locked away lost today tell honestly would still love showed flaws strong tell honestly would still love samelets get diddlydongdongdongdang want somebody real need much girl know trust money low nothing else give love would even enough girl meh need fi knownow tell would really ride baby tell would die would spend whole life would always hold tell would really cry baby lie anything wanna know would stick aroundif got locked away lost today tell honestly would still love showed flaws strong tell honestly would still love sametell tell would want tell tell would call knew balling cause need girl whos always side tell tell need tell tell love tryna play cause need girl hold lifeif got locked away lost today tell honestly would still love showed flaws strong tell honestly would still love sameif got locked away lost today tell honestly would still love showed flaws strong tell honestly would still love would still love samewould still love
41,somebody,natalie la rose featuring jeremih,2015,come natalie rosei wanna rock somebody woah yeah wanna take shot somebody shot shot shot shot wanna leave somebody somebody cmon cmon aint gonna tell nobody aint gonna tell nobodywalking everybody knows whats good gonna hate whats new favorite time waste always playing cooland end night loves going turn well never turn well never turn try make leave turn say never going homeand know wanna doi wanna rock somebody woah yeah wanna take shot somebody shot shot shot shot wanna leave somebody somebody cmon cmon aint gonna tell nobody aint gonna tell nobodywalking everybody know whats good block bring us everything think need tonight going tonight going upand end night loves going turn well never turn well never turn try make leave turn say never going homei wanna rock somebody woah yeah wanna take shot somebody shot shot shot shot wanna leave somebody somebody cmon cmon aint gonna tell nobody aint gonna tell nobodyand club like woah well party club like woah club like well city going like woah club like woah well party club like woah well city going like woah well party club like woahand end night loves going turn well never turn well never turn try make leave turn say never going homei wanna rock somebody woah yeah wanna take shot somebody shot shot shot shot wanna leave somebody somebody cmon cmon aint gonna tell nobody aint gonna tell nobody
42,fourfiveseconds,rihanna kanye west and paul mccartney,2015,produced dallas austin mike dean paul mccartney verse rihanna think ive enough might get little drunk say whats mind might little time cause kindness taken weakness hook rihanna im fourfiveseconds wildin got three days til friday im tryna make back home monday mornin swear wish somebody would tell thats want verse kanye west woke optimist sun shinin im positive heard talkin trash hold back im bout spaz hook rihanna kanye yeah bout fourfiveseconds wildin got three days til friday im tryna make back home monday mornin swear wish somebody would try thats want bridge rihanna know tonight thinkin could selfish called bout thousand times wondering ive know tonight thinkin could reckless cant apologize hope understand verse kanye west go jail tonight promise pay bail see want buy pride aint sale see kindness taken weakness hook rihanna kanye x
43,centuries,fall out boy,2015,legends told turn dust gold remember remember centuries one mistake take well go history remember centuries hey yeah hey hey yeah remember centuriesmummified teenage dreams nothing wrong kids wrong stories heavy metal broke heartcome come let bruises thighs like fingerprints tonight thought would feel never meant fix yourselfsome legends told turn dust gold remember remember centuries one mistake take well go history remember centuries hey yeah hey hey yeah remember centuriesand cant stop til whole world knows name cause born inside dreams die long light shadows cause opposite amnesia cherry blossom bloom look pretty gone soonsome legends told turn dust gold remember remember centuries one mistake take well go history remember centuries hey yeah hey hey yeah remember centuriesweve forever heres frozen proof could scream forever poisoned youthsome legends told turn dust gold remember remember centuries one mistake take well go history remember centuries hey yeah hey hey yeah well go history hey yeah remember centuries
44,way,fetty wap featuring monty,2015,baby come way got something want say cannot keep brain first imma start saying ay headshots think could take bitch ay im turnt shoot swear miss ay bababy come way baby come way meaning byjamesg editor way third single american rapper fetty wap aka willie maxwell taken eponymous debut studio album fetty wap song see babababy something know ever chase hoes spotted glow watch pull dough take want go flexing ex know aint ever take barely even left house dare nigga run mouth pockets drought last single put even make dumb hell swear ass think ay disrespect two shots blink ay never really cared fuck niggas think ay got deep pockets swear shits sink ay mad fuck big zoowap sing ay mad fuck big zoowap dreams ay well mad fuck sex scream ay big zoowap niggas aybaby come way got something want say cannot keep brain first imma start saying ay headshots think could take bitch ay im turnt shoot swear miss ay bababy come way baby come waybaby girl stay night till morn ice arm like want might put bitch mine cant see rock seventeen knots jeans zoo turnin got boo cut sue cause looking like roof going counting bread talk feds try take bitch gonna take two head cause baby baddest money imma cash im swervin traffic im trapping mansion im moving tristate twohundred highway im swerving baby come way squad
45,take time,sam hunt,2015,know looking probably smile like time mean bother walk say hiand know name cause everybody knows name looking anything right wanna come strong get wrong eyes intimidating heart pounding conversation girl im gonna waste know know want toand wanna steal freedom wanna change mind make love want take timei wanna wreck friday aint gonna waste lines take heart wanna take timeand know starts hello next thing know trying nice guys getting close trying pick trying get drunkand im sure one friends come cause supposed save random guys talk much wanna stay long old song dance think know wellyou could rolled eyes told go hell could walked away still im still come lets see goesi wanna steal freedom wanna change mind make love wanna take timei meet mother cross line wanna steal covers wanna take timewoah wanna go home woah wanna alone youi wanna steal freedom wanna change mind make love wanna take timeand wanna blow phone wanna blow mind take heart wanna take timeno aint gotta call baby aint gotta call mine take heart wanna take time
46,animals,maroon 5,2015,baby im preying tonight hunt eat alive like animals animals like animalsmalsmaybe think hide smell scent miles like animals animals like animalsmals baby imso trying like cant stop enemies get along im inside eh like drug thats killing cut entirely get high im inside youyeah start run free find fish sea pretend meant cant stay away still hear making sound taking rolling ground pretend ohbaby im preying tonight hunt eat alive like animals animals like animalsmaybe think hide smell scent miles like animals animals like animalsmals baby imso run enough still head forever stuck wanna eh love lies ill eat em deny animal comes alive im inside youyeah start run free find fish sea pretend meant cant stay away still hear making sound taking rolling ground pretend ohbaby im preying tonight hunt eat alive like animals animals like animalsmalsmaybe think hide smell scent miles like animals animals like animalsmals baby imdont tell lie lie lie lie cant deny ny ny ny beast inside side side side yeah yeah yeahno girl lie lie lie lie girl lie cant deny ny ny ny cant deny beast inside side side side yeah yeah yeahyo whoa whoa like animals animals like animalsmals like animals yeah animals yeah like animalsmals yeah owbaby im preying tonight hunt eat alive like animals animals like animalsmalsmaybe think hide smell scent miles like animals animals like animalsmals baby imdont tell lie lie lie lie cant deny ny ny ny beast inside side side side yeah yeah yeahno girl lie lie lie lie girl lie cant deny ny ny ny cant deny beast inside side side side yeah yeah yeah
47,fuck,big sean featuring e40,2015,fuck little stupid ass bitch aint fuckin little little dumb ass bitch aint fuckin got million trillion things id rather fuckin fuckin little stupid ass give fuck give fuck give fuck bitch give fuck anything give fuck anything doi heard got new man see takin pic post thinkin makin sick brr brr see calling makin quick imma answer shit like fuck bitch got feelings go swear got ceilings go mean real fuck feel fuck two cents aint goin towards bill yeah everyday wake celebratin shit cause dodged bullet crazy bitch stuck guns thats made rich thats put thats got thats made everything first name hoes chase bread aw damn got bird brain aint nothin trill aw man silly bought crib three stories bitch trilogy know im rollin weed thats fuckin ozone got bitch text aint got clothes another one text ass next im gonna text ass back likei fuck little stupid ass bitch aint fuckin little little dumb ass bitch aint fuckin got million trillion things id rather fuckin fuckin little stupid ass give fuck give fuck give fuck bitch give fuck anything give fuck anything give fuck give fuck give fuck bitch give fuck anything give fuck anything dogot million things mind executive deals online limited amount time chasin dollar signs aint grind might able find mgm casino fuckin fetti coulda put property bay murder mitten niggas put murder missions choose thats decision free niggas prison phone bitch cant shit pimp make nigga hella rich got blunt dental goin ham rental way sacramento late night arsenio im never sentimental go hard go home listen barely harley im chromeless might end domeless bet cheddar givin make bitch stand outside forever like statue liberty rest pimp pimp c underground king south raise styrofoam pour drank mouth always coming around bad news say want win hope lose ass never rock niggas crew niggas cool thatbitch aint fuck little stupid ass bitch aint fuckin little little dumb ass bitch aint fuckin got million trillion things id rather fuckin fuckin little stupid ass give fuck give fuck give fuck bitch give fuck anything give fuck anything give fuck give fuck give fuck bitch give fuck anything give fuck anything doi got new chick gotta thank god got new whip gotta thank lot yeah got lot want lot yeah buildin im tryna take top floor swear hear new bullshit every day im wakin seems like nowadays everybody breakin shit break lose good girl guess need bad bitch come around make guess drama makes best content everything got bad side even conscience drinkin til unconscious feel get fine bitch forget read fine print life got meditatin like im himalayas keep g l lit like elevator yeah know karmas real hope doin cool still stupid ass bitch aint fuckin little stupid ass aint fuckin aint fuckin aint aint fuckin aint fuckin
48,bitch better money,rihanna,2015,intro yayo yayo mulala yayoverse bitch better money yall know well enough bitch better money please call bluff pay owe ballin bigger lebron bitch give money yall think yall frontin like brap brap brapprechorus louis xiii nigga bought shot kamikaze think gon knock top shit wife backseat brand new foreign car act like forgot call shots shots shots like brap brap brap pay owe act like forgotchorus bitch better money bitch better money pay owe bitch better bitch better bitch better bitch better bitch better moneyverse turn rihanna whole club fuckin wasted every time drive im thing playin drop top doin hundred yall rearview mirror racin yall yall yall like brap brap brapprechorus louis xiii nigga bought shot kamikaze think gon knock top shit wife backseat brand new foreign car act like forgot call shots shots shots like brap brap brap pay owe act like forgotchorus bitch better money bitch better money pay owe bitch better bitch better bitch better bitch better bitch better money bitch better money bitch better money pay owe bitch better bitch better bitch better bitch better bitch better moneyoutro bitch better money bitch better money bitch bitch bitch better money yo bitch better money hold money yo money bitch better money bitch better money
49,flex,rich homie quan,2015,aye rich homie babywalked pocket niggas like ooohh dollars bitch wanna fuck got screamin like ooohh cause got check nigga wanna flex aint gotta flex got ooohh give ho x gone wanna sex every nigga set screamin like ooohh much mademade million dollars mixtape im fuckin like ooohh try drop case know skate singing like oooohh thats right nigga boy know role play heard im talking said see quan top loft nigga stay im bad boy wear big clothes like mae club nigga get boppin ho want free drink tell bitch get im nigga get poppin hair short like dennis rodman clearport nigga flying landed boy iwalked pocket niggas like ooohh dollars bitch wanna fuck got screamin like ooohh cause got check nigga wanna flex aint gotta flex got ooohh give ho x gone wanna sex every nigga set screamin like ooohhhow much made two days fuck niggas cause two faced fuck bitches toupee givencheys aint worried new taste know true got set always got back love shit im big dog cat love back call green cause goose wear glasses cause know niggas watchin mad cause cannot stop boy stopping option cant help cause got waste time got shit watchin talkin rollex yeah bought em im top started bottom iwalked pocket niggas like ooohh dollars bitch wanna fuck got screamin like ooohh cause got check nigga wanna flex aint gotta flex got ooohh give ho x gone wanna sex every nigga set screamin like ooohhhow much made much much made much much made made million dollars mixtape fuck like ooohhh aye get
51,,nicki minaj featuring drake lil wayne and chris brown,2015,yo never fucked wayne never fucked drake life man fucks sake menage em let em eat ass like cupcake man full ate duck nobody tape yeah set punchline duct tape worried bout butts fake worried bout johns singing us drake girls sons john kate plus eight walk sit straight give fuck late dealing man g idea update hut one hut two big titties big butt fuck real niggas tell niggas show bitches top ring finger rock hoes test even name pop quiz bad bitches fuck mad bitches fuck fuck chickens unless last name cutlet let soak like seasonin tell em tell em blow lance stephensonraise bottle cup sky sparks air like fourth july nothing bad bitches tonight lame know quiet nothing real niggas bad bitches rich niggas independent bitches boss niggas thick bitches got real niggas side onlyi never fucked nicki cause got man thats im first line day maybach thought god damn perfect time come video know traffic city slow sitting big butt still staring titties though yeah low key may high key peeped like know fuck really wanna besides mean take much us shit quietly mean say im obsessed thick women agree thats right like girls bbw yeah type wanna suck dry eat lunch thick everyone else room uncomfortable ass houston texas face look like claire huxtable yeah man city mayor fuck nba players fuck bad ass bitches makeup hair fuck thats cause believe something stand nicki ever tryna fuck give heads plan itraise bottle cup sky sparks air like fourth july nothing bad bitches tonight lame know quiet nothing real niggas bad bitches rich niggas independent bitches boss niggas thick bitches got real niggas side onlyi never fucked nicki thats fucked fuck shed fucked whoever hittin aint hittin right cause actin like need dick life thats another story im story teller piss greatness like gold yellow goons overzealous im holly groove holy mecca accountant say got money days squirm shake im stuck ways girl bida wave baby fucked surfboard surfboard eyes bright take cover shade money take mothers instead got hickups swallowed truth make burp boy treat like sirloin im talkin bout runnin houses arm guns think son daughter rooms got two goons got smaller guns aint thinkin bout son daughter rooms crazy nigga mean brazy nigga money talk rephrase nigga blood gang take b ill behave ya im niggas reals mouth blow face mean poppoppop take see like jamie foxx acting like ray charles clip one chamber ward bully bullets story went poor police pour drink celebrate meraise bottle cup sky sparks air like fourth july nothing bad bitches tonight lame know quiet nothing real niggas bad bitches rich niggas independent bitches boss niggas thick bitches got real niggas side
52,elastic heart,sia,2015,another one bites dust conquer love might thought one wanted fight war without weaponsand wanted wanted bad many red flags another one bites dust yeah lets clear ill trust one meaning byjamesg editor elastic heart song australian recording artist sia featuring canadian recording artist weeknd american producer diplo taken see prechorus break im still fighting peacechorus ive got thick skin elastic heart blade might sharp im like rubberband pull hard may snap move fast see fall apart cos ive got elastic heartand stay night lets clear close eyes know survive ill walk fire save lifeand want want life bad im everything another one bites dust hard lose chosen oneprechorus break im still fighting peacechorus ive got thick skin elastic heart blade might sharp im like rubberband pull hard may snap move fast see fall apart cos ive got elastic heart
53,cool summer,demi lovato,2015,tell want like okay imma little curious tell wrong right care keep secret could yougot mind body body mind got taste cherry need take bite tell mother kiss one another die cool summer haooh take paradise scared cause im body type something wanna try cause cool summertell whats prize wanna play even judge fuck ill time wanna fun yougot mind body body mind got taste cherry need take bite tell mother kiss one another die cool summer haooh take paradise scared cause im body type something wanna try cause cool summer cool summer cool summershhh tell mother got mind body body mind got taste cherry need take bitetake take paradise scared cause im body type something wanna try cause cool summertake cool summer scared cause im body type something wanna try cause cool summer cool summer
54,renegades,x ambassadors,2015,run away lost souls reverie running wild running free two kids meand say hey hey hey hey living like renegades hey hey hey hey hey hey living like renegades renegades renegadeslong live pioneers rebels mutineers go forth fear come close end nearand say hey hey hey hey living like renegades hey hey hey hey hey hey living like renegades renegades renegadesall hail underdogs hail new kids hail outlaws spielbergs kubricksits time make move time make amends time break rules lets beginand say hey hey hey hey living like renegades hey hey hey hey hey hey leaving like renegades renegades renegades
55,mind,usher featuring juicy j,2015,yeah usher baby ashawty mind dance pole make hoe shawty mind work three leaving go make money money money money money money cause know go handle biz get money money money money money money take clothes long coming home girl mindthe ballers tonight gon buy hundred bottles soon shake know gon make colossal cause shawty thinkin tricks body got niggas crowding around like seen beyonc want need baby judge cause could ever trip met club make enough us dance anyway know raised ashawty mind dance pole make hoe shawty mind work three leaving go make money money money money money money cause know go handle biz get money money money money money money take clothes long coming home girl mindwhen get work ill ready go rari get home well us private party worry things say love anyway twerk split racking tips body rock booty poppin im proud call bitch lookin cant touch shawty im one get go ahead keep itshawty mind dance pole make hoe shawty mind work three leaving go make money money money money money money cause know go handle biz get money money money money money money take clothes lets get juicy j long coming home girl mindim tryina cut tryina bust nut tryina take somebody bitch turn slut tryina fill cup tryina live throw hundreds ass walk club yeah hoe uh lap dance first date bet threw bands thats third base okay work late still party like birthday still party hard birthday suit knock pussy park like name babe ruth shawty want tip want see strip fuck like love shawty might get rich cake place blow gas role bed like roleplay tell friend join waysshawty mind dance pole make hoe mind work three leaving gotta move gotta make money money money money money money cause know girl go handle biz get money money money make money money money take clothes long coming home girl mind
